date;datatype;station;value;fl_m;fl_q;fl_so;fl_t
2021-01-12;TMIN;GHCND:NZM00093110;143;;;S;
2021-01-13;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-13;TAVG;GHCND:NZM00093110;212;H;;S;
2021-01-13;TMAX;GHCND:NZM00093110;275;;;S;
2021-01-13;TMIN;GHCND:NZM00093110;153;;;S;
2021-01-14;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-14;TAVG;GHCND:NZM00093110;211;H;;S;
2021-01-14;TMAX;GHCND:NZM00093110;263;;;S;
2021-01-14;TMIN;GHCND:NZM00093110;153;;;S;
2021-01-15;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-15;TAVG;GHCND:NZM00093110;203;H;;S;
2021-01-15;TMAX;GHCND:NZM00093110;243;;;S;
2021-01-15;TMIN;GHCND:NZM00093110;165;;;S;
2021-01-16;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-16;TAVG;GHCND:NZM00093110;201;H;;S;
2021-01-16;TMAX;GHCND:NZM00093110;247;;;S;
2021-01-16;TMIN;GHCND:NZM00093110;150;;;S;
2021-01-17;PRCP;GHCND:NZM00093110;15;;;S;
2021-01-17;TAVG;GHCND:NZM00093110;209;H;;S;
2021-01-17;TMAX;GHCND:NZM00093110;271;;;S;
2021-01-17;TMIN;GHCND:NZM00093110;150;;;S;
2021-01-18;PRCP;GHCND:NZM00093110;3;;;S;
2021-01-18;TAVG;GHCND:NZM00093110;198;H;;S;
2021-01-18;TMAX;GHCND:NZM00093110;238;;;S;
2021-01-18;TMIN;GHCND:NZM00093110;162;;;S;
2021-01-19;PRCP;GHCND:NZM00093110;76;;;S;
2021-01-19;TAVG;GHCND:NZM00093110;202;H;;S;
2021-01-19;TMAX;GHCND:NZM00093110;268;;;S;
2021-01-19;TMIN;GHCND:NZM00093110;157;;;S;
2021-01-20;PRCP;GHCND:NZM00093110;18;;;S;
2021-01-20;TAVG;GHCND:NZM00093110;158;H;;S;
2021-01-20;TMAX;GHCND:NZM00093110;215;;;S;
2021-01-20;TMIN;GHCND:NZM00093110;123;;;S;
2021-01-21;PRCP;GHCND:NZM00093110;5;;;S;
2021-01-21;TAVG;GHCND:NZM00093110;175;H;;S;
2021-01-21;TMAX;GHCND:NZM00093110;217;;;S;
2021-01-21;TMIN;GHCND:NZM00093110;123;;;S;
2021-01-22;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-22;TAVG;GHCND:NZM00093110;186;H;;S;
2021-01-22;TMAX;GHCND:NZM00093110;221;;;S;
2021-01-22;TMIN;GHCND:NZM00093110;148;;;S;
2021-01-23;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-23;TAVG;GHCND:NZM00093110;194;H;;S;
2021-01-23;TMAX;GHCND:NZM00093110;232;;;S;
2021-01-23;TMIN;GHCND:NZM00093110;164;;;S;
2021-01-24;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-24;TAVG;GHCND:NZM00093110;201;H;;S;
2021-01-24;TMAX;GHCND:NZM00093110;241;;;S;
2021-01-24;TMIN;GHCND:NZM00093110;171;;;S;
2021-01-25;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-25;TAVG;GHCND:NZM00093110;208;H;;S;
2021-01-25;TMAX;GHCND:NZM00093110;241;;;S;
2021-01-25;TMIN;GHCND:NZM00093110;174;;;S;
2021-01-26;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-26;TAVG;GHCND:NZM00093110;206;H;;S;
2021-01-26;TMIN;GHCND:NZM00093110;175;;;S;
2021-01-27;PRCP;GHCND:NZM00093110;3;;;S;
2021-01-27;TAVG;GHCND:NZM00093110;207;H;;S;
2021-01-27;TMAX;GHCND:NZM00093110;246;;;S;
2021-01-27;TMIN;GHCND:NZM00093110;175;;;S;
2021-01-28;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-28;TAVG;GHCND:NZM00093110;192;H;;S;
2021-01-28;TMAX;GHCND:NZM00093110;251;;;S;
2021-01-28;TMIN;GHCND:NZM00093110;158;;;S;
2021-01-29;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-29;TAVG;GHCND:NZM00093110;174;H;;S;
2021-01-29;TMAX;GHCND:NZM00093110;220;;;S;
2021-01-29;TMIN;GHCND:NZM00093110;131;;;S;
2021-01-30;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-30;TAVG;GHCND:NZM00093110;181;H;;S;
2021-01-30;TMAX;GHCND:NZM00093110;233;;;S;
2021-01-30;TMIN;GHCND:NZM00093110;125;;;S;
2021-01-31;PRCP;GHCND:NZM00093110;0;;;S;
2021-01-31;TAVG;GHCND:NZM00093110;188;H;;S;
2021-01-31;TMAX;GHCND:NZM00093110;251;;;S;
2021-01-31;TMIN;GHCND:NZM00093110;125;;;S;
2021-02-01;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-01;TAVG;GHCND:NZM00093110;192;H;;S;
2021-02-01;TMAX;GHCND:NZM00093110;249;;;S;
2021-02-01;TMIN;GHCND:NZM00093110;133;;;S;
2021-02-02;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-02;TAVG;GHCND:NZM00093110;197;H;;S;
2021-02-02;TMAX;GHCND:NZM00093110;250;;;S;
2021-02-02;TMIN;GHCND:NZM00093110;149;;;S;
2021-02-03;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-03;TAVG;GHCND:NZM00093110;204;H;;S;
2021-02-03;TMAX;GHCND:NZM00093110;249;;;S;
2021-02-03;TMIN;GHCND:NZM00093110;151;;;S;
2021-02-04;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-04;TAVG;GHCND:NZM00093110;219;H;;S;
2021-02-04;TMAX;GHCND:NZM00093110;272;;;S;
2021-02-04;TMIN;GHCND:NZM00093110;169;;;S;
2021-02-05;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-05;TAVG;GHCND:NZM00093110;207;H;;S;
2021-02-05;TMAX;GHCND:NZM00093110;257;;;S;
2021-02-05;TMIN;GHCND:NZM00093110;172;;;S;
2021-02-06;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-06;TAVG;GHCND:NZM00093110;205;H;;S;
2021-02-06;TMAX;GHCND:NZM00093110;248;;;S;
2021-02-06;TMIN;GHCND:NZM00093110;172;;;S;
2021-02-07;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-07;TAVG;GHCND:NZM00093110;204;H;;S;
2021-02-07;TMAX;GHCND:NZM00093110;256;;;S;
2021-02-07;TMIN;GHCND:NZM00093110;155;;;S;
2021-02-08;PRCP;GHCND:NZM00093110;3;;;S;
2021-02-08;TAVG;GHCND:NZM00093110;209;H;;S;
2021-02-08;TMAX;GHCND:NZM00093110;261;;;S;
2021-02-08;TMIN;GHCND:NZM00093110;155;;;S;
2021-02-09;PRCP;GHCND:NZM00093110;20;;;S;
2021-02-09;TAVG;GHCND:NZM00093110;214;H;;S;
2021-02-09;TMAX;GHCND:NZM00093110;254;;;S;
2021-02-09;TMIN;GHCND:NZM00093110;178;;;S;
2021-02-10;PRCP;GHCND:NZM00093110;74;;;S;
2021-02-10;TAVG;GHCND:NZM00093110;183;H;;S;
2021-02-10;TMAX;GHCND:NZM00093110;219;;;S;
2021-02-10;TMIN;GHCND:NZM00093110;165;;;S;
2021-02-13;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-13;TAVG;GHCND:NZM00093110;186;H;;S;
2021-02-13;TMAX;GHCND:NZM00093110;265;;;S;
2021-02-13;TMIN;GHCND:NZM00093110;150;;;S;
2021-02-14;PRCP;GHCND:NZM00093110;203;;;S;
2021-02-14;TAVG;GHCND:NZM00093110;205;H;;S;
2021-02-14;TMAX;GHCND:NZM00093110;272;;;S;
2021-02-14;TMIN;GHCND:NZM00093110;150;;;S;
2021-02-15;PRCP;GHCND:NZM00093110;193;;;S;
2021-02-15;TAVG;GHCND:NZM00093110;207;H;;S;
2021-02-15;TMAX;GHCND:NZM00093110;222;;;S;
2021-02-15;TMIN;GHCND:NZM00093110;175;;;S;
2021-02-16;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-16;TAVG;GHCND:NZM00093110;203;H;;S;
2021-02-16;TMAX;GHCND:NZM00093110;247;;;S;
2021-02-16;TMIN;GHCND:NZM00093110;166;;;S;
2021-02-17;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-17;TAVG;GHCND:NZM00093110;188;H;;S;
2021-02-17;TMAX;GHCND:NZM00093110;257;;;S;
2021-02-17;TMIN;GHCND:NZM00093110;130;;;S;
2021-02-18;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-18;TAVG;GHCND:NZM00093110;181;H;;S;
2021-02-18;TMAX;GHCND:NZM00093110;234;;;S;
2021-02-18;TMIN;GHCND:NZM00093110;128;;;S;
2021-02-19;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-19;TAVG;GHCND:NZM00093110;201;H;;S;
2021-02-19;TMAX;GHCND:NZM00093110;236;;;S;
2021-02-19;TMIN;GHCND:NZM00093110;128;;;S;
2021-02-21;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-21;TAVG;GHCND:NZM00093110;192;H;;S;
2021-02-21;TMIN;GHCND:NZM00093110;165;;;S;
2021-02-22;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-22;TAVG;GHCND:NZM00093110;213;H;;S;
2021-02-22;TMAX;GHCND:NZM00093110;255;;;S;
2021-02-22;TMIN;GHCND:NZM00093110;165;;;S;
2021-02-23;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-23;TAVG;GHCND:NZM00093110;213;H;;S;
2021-02-23;TMAX;GHCND:NZM00093110;260;;;S;
2021-02-23;TMIN;GHCND:NZM00093110;171;;;S;
2021-02-24;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-24;TAVG;GHCND:NZM00093110;211;H;;S;
2021-02-24;TMAX;GHCND:NZM00093110;260;;;S;
2021-02-24;TMIN;GHCND:NZM00093110;172;;;S;
2021-02-25;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-25;TAVG;GHCND:NZM00093110;204;H;;S;
2021-02-25;TMAX;GHCND:NZM00093110;263;;;S;
2021-02-25;TMIN;GHCND:NZM00093110;152;;;S;
2021-02-26;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-26;TAVG;GHCND:NZM00093110;202;H;;S;
2021-02-26;TMAX;GHCND:NZM00093110;256;;;S;
2021-02-26;TMIN;GHCND:NZM00093110;147;;;S;
2021-02-27;PRCP;GHCND:NZM00093110;0;;;S;
2021-02-27;TAVG;GHCND:NZM00093110;203;H;;S;
2021-02-27;TMAX;GHCND:NZM00093110;262;;;S;
2021-02-27;TMIN;GHCND:NZM00093110;147;;;S;
2021-02-28;PRCP;GHCND:NZM00093110;5;;;S;
2021-02-28;TAVG;GHCND:NZM00093110;206;H;;S;
2021-02-28;TMAX;GHCND:NZM00093110;264;;;S;
2021-02-28;TMIN;GHCND:NZM00093110;161;;;S;
2021-03-01;PRCP;GHCND:NZM00093110;79;;;S;
2021-03-01;TAVG;GHCND:NZM00093110;201;H;;S;
2021-03-01;TMAX;GHCND:NZM00093110;252;;;S;
2021-03-01;TMIN;GHCND:NZM00093110;166;;;S;
2021-03-02;PRCP;GHCND:NZM00093110;28;;;S;
2021-03-02;TAVG;GHCND:NZM00093110;214;H;;S;
2021-03-02;TMAX;GHCND:NZM00093110;260;;;S;
2021-03-02;TMIN;GHCND:NZM00093110;171;;;S;
2021-03-03;PRCP;GHCND:NZM00093110;43;;;S;
2021-03-03;TAVG;GHCND:NZM00093110;206;H;;S;
2021-03-03;TMAX;GHCND:NZM00093110;249;;;S;
2021-03-03;TMIN;GHCND:NZM00093110;186;;;S;
2021-03-04;PRCP;GHCND:NZM00093110;5;;;S;
2021-03-04;TAVG;GHCND:NZM00093110;185;H;;S;
2021-03-04;TMAX;GHCND:NZM00093110;233;;;S;
2021-03-04;TMIN;GHCND:NZM00093110;150;;;S;
2021-03-05;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-05;TAVG;GHCND:NZM00093110;193;H;;S;
2021-03-05;TMAX;GHCND:NZM00093110;237;;;S;
2021-03-05;TMIN;GHCND:NZM00093110;143;;;S;
2021-03-06;PRCP;GHCND:NZM00093110;23;;;S;
2021-03-06;TAVG;GHCND:NZM00093110;184;H;;S;
2021-03-06;TMAX;GHCND:NZM00093110;241;;;S;
2021-03-06;TMIN;GHCND:NZM00093110;143;;;S;
2021-03-07;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-07;TAVG;GHCND:NZM00093110;188;H;;S;
2021-03-07;TMAX;GHCND:NZM00093110;226;;;S;
2021-03-07;TMIN;GHCND:NZM00093110;159;;;S;
2021-03-08;PRCP;GHCND:NZM00093110;5;;;S;
2021-03-08;TAVG;GHCND:NZM00093110;181;H;;S;
2021-03-08;TMAX;GHCND:NZM00093110;222;;;S;
2021-03-08;TMIN;GHCND:NZM00093110;158;;;S;
2021-03-09;PRCP;GHCND:NZM00093110;3;;;S;
2021-03-09;TAVG;GHCND:NZM00093110;179;H;;S;
2021-03-09;TMIN;GHCND:NZM00093110;146;;;S;
2021-03-10;PRCP;GHCND:NZM00093110;48;;;S;
2021-03-10;TAVG;GHCND:NZM00093110;200;H;;S;
2021-03-10;TMAX;GHCND:NZM00093110;237;;;S;
2021-03-10;TMIN;GHCND:NZM00093110;146;;;S;
2021-03-11;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-11;TAVG;GHCND:NZM00093110;184;H;;S;
2021-03-11;TMAX;GHCND:NZM00093110;233;;;S;
2021-03-11;TMIN;GHCND:NZM00093110;133;;;S;
2021-03-12;PRCP;GHCND:NZM00093110;3;;;S;
2021-03-12;TAVG;GHCND:NZM00093110;184;H;;S;
2021-03-12;TMAX;GHCND:NZM00093110;238;;;S;
2021-03-12;TMIN;GHCND:NZM00093110;130;;;S;
2021-03-13;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-13;TAVG;GHCND:NZM00093110;179;H;;S;
2021-03-13;TMAX;GHCND:NZM00093110;238;;;S;
2021-03-13;TMIN;GHCND:NZM00093110;123;;;S;
2021-03-14;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-14;TAVG;GHCND:NZM00093110;189;H;;S;
2021-03-14;TMAX;GHCND:NZM00093110;237;;;S;
2021-03-14;TMIN;GHCND:NZM00093110;123;;;S;
2021-03-15;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-15;TAVG;GHCND:NZM00093110;201;H;;S;
2021-03-15;TMAX;GHCND:NZM00093110;261;;;S;
2021-03-15;TMIN;GHCND:NZM00093110;146;;;S;
2021-03-16;PRCP;GHCND:NZM00093110;3;;;S;
2021-03-16;TAVG;GHCND:NZM00093110;186;H;;S;
2021-03-16;TMAX;GHCND:NZM00093110;240;;;S;
2021-03-16;TMIN;GHCND:NZM00093110;127;;;S;
2021-03-17;PRCP;GHCND:NZM00093110;3;;;S;
2021-03-17;TAVG;GHCND:NZM00093110;187;H;;S;
2021-03-17;TMAX;GHCND:NZM00093110;231;;;S;
2021-03-17;TMIN;GHCND:NZM00093110;127;;;S;
2021-03-18;PRCP;GHCND:NZM00093110;3;;;S;
2021-03-18;TAVG;GHCND:NZM00093110;181;H;;S;
2021-03-18;TMAX;GHCND:NZM00093110;225;;;S;
2021-03-18;TMIN;GHCND:NZM00093110;144;;;S;
2021-03-19;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-19;TAVG;GHCND:NZM00093110;173;H;;S;
2021-03-19;TMAX;GHCND:NZM00093110;230;;;S;
2021-03-19;TMIN;GHCND:NZM00093110;134;;;S;
2021-03-20;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-20;TAVG;GHCND:NZM00093110;166;H;;S;
2021-03-20;TMAX;GHCND:NZM00093110;227;;;S;
2021-03-20;TMIN;GHCND:NZM00093110;131;;;S;
2021-03-21;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-21;TAVG;GHCND:NZM00093110;170;H;;S;
2021-03-21;TMAX;GHCND:NZM00093110;230;;;S;
2021-03-21;TMIN;GHCND:NZM00093110;128;;;S;
2021-03-22;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-22;TAVG;GHCND:NZM00093110;179;H;;S;
2021-03-22;TMAX;GHCND:NZM00093110;227;;;S;
2021-03-22;TMIN;GHCND:NZM00093110;128;;;S;
2021-03-23;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-23;TAVG;GHCND:NZM00093110;170;H;;S;
2021-03-23;TMAX;GHCND:NZM00093110;220;;;S;
2021-03-23;TMIN;GHCND:NZM00093110;112;;;S;
2021-03-24;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-24;TAVG;GHCND:NZM00093110;170;H;;S;
2021-03-24;TMAX;GHCND:NZM00093110;236;;;S;
2021-03-24;TMIN;GHCND:NZM00093110;112;;;S;
2021-03-25;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-25;TAVG;GHCND:NZM00093110;179;H;;S;
2021-03-25;TMAX;GHCND:NZM00093110;240;;;S;
2021-03-25;TMIN;GHCND:NZM00093110;121;;;S;
2021-03-26;PRCP;GHCND:NZM00093110;0;;;S;
2021-03-26;TAVG;GHCND:NZM00093110;192;H;;S;
2021-03-26;TMAX;GHCND:NZM00093110;247;;;S;
2021-03-26;TMIN;GHCND:NZM00093110;126;;;S;
2021-03-27;PRCP;GHCND:NZM00093110;5;;;S;
2021-03-27;TAVG;GHCND:NZM00093110;197;H;;S;
2021-03-27;TMAX;GHCND:NZM00093110;245;;;S;
2021-03-27;TMIN;GHCND:NZM00093110;157;;;S;
2021-03-28;PRCP;GHCND:NZM00093110;38;;;S;
2021-03-28;TAVG;GHCND:NZM00093110;200;H;;S;
2021-03-28;TMAX;GHCND:NZM00093110;233;;;S;
2021-03-28;TMIN;GHCND:NZM00093110;173;;;S;
2021-03-29;PRCP;GHCND:NZM00093110;79;;;S;
2021-03-29;TAVG;GHCND:NZM00093110;208;H;;S;
2021-03-29;TMAX;GHCND:NZM00093110;244;;;S;
2021-03-29;TMIN;GHCND:NZM00093110;173;;;S;
2021-03-30;PRCP;GHCND:NZM00093110;5;;;S;
2021-03-30;TAVG;GHCND:NZM00093110;204;H;;S;
2021-03-30;TMAX;GHCND:NZM00093110;230;;;S;
2021-03-30;TMIN;GHCND:NZM00093110;190;;;S;
2021-03-31;PRCP;GHCND:NZM00093110;122;;;S;
2021-03-31;TAVG;GHCND:NZM00093110;172;H;;S;
2021-03-31;TMAX;GHCND:NZM00093110;224;;;S;
2021-03-31;TMIN;GHCND:NZM00093110;137;;;S;
2021-04-01;PRCP;GHCND:NZM00093110;107;;;S;
2021-04-01;TAVG;GHCND:NZM00093110;166;H;;S;
2021-04-01;TMAX;GHCND:NZM00093110;234;;;S;
